Total,Sel2_Raw,2Shr_Raw,Sig_Raw,Sel2_CV,2Shr_CV,Sig_CV,Sel2_BNB,2Shr_BNB,Sig_BNB
20850,5015,913,825,0,0,0,0,0,0
21654,4962,932,896,0,0,0,0,0,0
21572,4568,886,800,0,0,0,0,0,0
21115,4997,957,889,0,0,0,0,0,0
21238,5446,529,398,0,0,0,0,0,0
21825,4965,892,821,0,0,0,0,0,0
20513,4962,936,843,0,0,0,0,0,0
20886,4821,875,791,0,0,0,0,0,0
21206,5162,953,864,0,0,0,0,0,0
21899,5084,904,802,0,0,0,0,0,0
21874,5213,964,889,0,0,0,0,0,0
20704,4978,885,821,0,0,0,0,0,0
19453,4892,878,821,0,0,0,0,0,0
19344,4713,925,845,0,0,0,0,0,0
19980,4888,896,847,0,0,0,0,0,0
19395,4618,858,805,0,0,0,0,0,0
21101,5376,925,853,0,0,0,0,0,0
